"This list is controlled by ZigZag (Save configuration to refresh)","רשימה זאת נשלטת על ידי זיגזג (שמור הגדרות כדי לרענן)"
"Please provide username, password and save configuration in order to populate this list. If credentials are set and this list is still empty, please contact ZigZag customer support.","אנא הזינו שם משתמש וסיסמא ולאחר מכן שמור את ההגדרות. אם אלו מוגדרים והרשימה ריקה, אנא פנו לזיגזג להמשך תמיכה"
"Sorry, but this shipping method is not applicable due to destination country or minimum cart amount.","מצטערים, שיטת משלוח זו אינה זמינה עקב יעד משלוח או סכום ההזמנה אינו תואם להגדרות"
"Shipping method <b>Disabled</b> by ZigZag.","שיטת משלוח <b>כבויה</b> על ידי זיגזג"
No,לא
Yes,כן
Date,תאריך
From,"מ-"
To,"עד-"
Comment,הערה
"Non of those options","אף אחת מהאפשרויות"
"ZigZag Base","זיגזג בסיס"
Username,"שם משתמש"
Password,סיסמא
"Email To Notify About Errors","כתובת מייל להתראות עבור שגיאות"
"Enabled Shipping Types By ZigZag","שיטות משלוח מאופשרים על ידי זיגזג"
"ZigZag Double","זיגזג כפולה"
Enabled,"מאופשר"
Title,"כותרת"
"Method Name","שם המשלוח"
"Minimum Order Amount","מינימום סכום לאפשר משלוח"
"Shipping Cost","עלות משלוח"
"Ship to Applicable Countries","שילוח לכל המדינות המאופשרת במערכת"
"Ship to Specific Countries","שילוח רק במדינות ספציפיות"
"Send Shipment To ZigZag For Order Statuses","צור שליחות בזיגזג עבור הזמנות בסטטוסים אלו"
"Show Method if Not Applicable","הצג שיטת משלוח גם אם לא זמינה"
"Sort Order","סדר מיון"
"ZigZag Regular","זיגזג רגיל"
"Shipment Sender","מוסר משלוח"
"Shipment Telephone","טלפון"
"Shipment Line","קו"
"Receiver Name","שם מקבל"
"Receiver Company","חברה"
"Receiver Phone","טלפון"
"Receiver Address","כתובת"
"Receiver Type","סוג"
"Receiver Regular","רגילה"
"Shipment Billed Client","לקוח מחוייב"
